,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
glass_blur,1.1761395e-08,0.98523337,2.5807176e-07,8.5160515e-08,6.0123284e-08,1.0015045e-08,2.3379865e-10,3.0258484e-08,1.1745434e-08,0.014766131
rot270,3.2471555e-06,0.44274396,5.8486155e-08,2.4324254e-09,1.9581248e-05,2.9956266e-07,1.7086207e-12,0.20899628,0.20770079,0.14053576
rot90,5.0541535e-06,0.30070633,6.963419e-08,2.7734186e-09,1.7652306e-05,3.4380042e-07,1.8940188e-12,0.19758528,0.28482687,0.2168585
impulse_noise,0.0028286697,0.0026393675,0.040961765,0.07091287,0.6447525,0.04213004,0.10135852,0.009092112,0.08215656,0.0031674826
random_crop,0.0040480085,0.027832104,0.00033667564,0.0015909387,0.0013402031,0.003045136,0.0002835802,0.025191303,0.027250972,0.90908116
pixelate,0.030885365,0.034844697,0.09713546,0.3027536,0.06355715,0.1573714,0.25060624,0.025600184,0.0139891105,0.023256773
motion_blur,0.031278536,0.09971216,0.03363452,0.067796156,0.15852521,0.10700799,0.06458105,0.07820957,0.06395265,0.29530218
color_jitter,0.03208055,0.0012078207,0.011321592,0.0035779139,0.05373168,0.11676952,0.004506211,0.043467455,0.6903368,0.04300047
gaussian_noise,0.039533548,0.018457891,0.0007675203,0.0015732491,0.0008295676,0.0011716486,1.1486855e-05,0.00014285573,0.8861744,0.051337924
zoom_blur,0.042530634,0.12787116,0.006732616,0.019647678,0.026027802,0.015771596,0.012159738,0.01893507,0.16298573,0.567338
saturate,0.05275319,0.011355955,0.17149328,0.01769297,0.18058193,0.024556972,0.42168015,0.023935528,0.040678564,0.055271637
elastic_transform,0.0662887,0.14734659,0.009014338,0.13607189,0.015700294,0.08439868,0.029172327,0.0206964,0.076654986,0.4146558
jpeg_compression,0.09000386,0.041590128,0.18297021,0.04491993,0.46302924,0.03145369,0.0059626577,0.02438484,0.0030225692,0.11266299
brightness,0.111759245,0.10125872,0.0897394,0.111254685,0.086209536,0.09530712,0.110380664,0.08956083,0.097277135,0.107252695
contrast,0.11324682,0.105876535,0.050614133,0.10510456,0.045322772,0.08273757,0.07612609,0.07409911,0.08999304,0.2568794
flip,0.11573373,0.08987856,0.09794753,0.12178282,0.09352944,0.10681215,0.13862951,0.06728113,0.06639091,0.10201419
speckle_noise,0.12962364,0.00010712638,0.00024450253,0.00021798164,8.285383e-05,0.00018257847,8.784534e-06,2.592785e-05,0.86746985,0.0020367682
defocus_blur,0.13092501,0.09438602,0.10081644,0.1014487,0.087864265,0.09794089,0.09365253,0.091549575,0.10673341,0.09468299
gaussian_blur,0.1335457,0.09401329,0.10120519,0.10125054,0.08692326,0.0981833,0.092201345,0.09115694,0.10763947,0.093880944
shot_noise,0.13718413,0.0005828924,0.0005969942,0.00052267086,0.00017633892,0.00027697434,1.9257226e-05,5.0097813e-05,0.8555508,0.005039794
snow,0.3775357,0.010924831,0.20768316,0.07268434,0.03934725,0.02656436,0.009357202,0.0053912057,0.24032718,0.010184699
fog,0.400454,0.048866328,0.074818954,0.069467746,0.04035108,0.044770602,0.06363927,0.040831458,0.1308068,0.085993834
spatter,0.52945894,0.0020276646,0.12342222,0.03242777,0.0402582,0.017709471,0.009110239,0.0037276023,0.23950632,0.002351679
